K;S;M;E
1;100,00;100,00;100,00
2;93,50;92,50;91,50
3;88,00;87,33;85,33
4;86,00;85,75;81,75
5;83,60;82,60;79,60
6;81,67;81,33;78,17
7;80,29;80,00;76,86
8;79,75;79,13;76,25
9;79,78;78,89;74,89
10;78,60;78,00;74,10
11;78,18;77,64;73,73
12;77,83;77,25;73,42
13;77,31;76,77;73,00
14;76,50;76,57;72,36
15;76,47;75,67;72,07
16;76,06;75,31;71,38
17;75,59;74,65;70,88
18;75,33;74,06;70,61
19;74,89;73,58;70,47
20;74,30;73,45;69,50
21;73,76;72,95;68,81
22;73,59;72,59;68,41
23;73,43;72,35;68,35
24;73,04;71,92;68,08
25;72,64;71,76;67,64
26;72,38;71,58;67,23
27;72,26;70,96;67,00
28;71,75;70,75;66,54
29;71,48;70,34;66,14
30;71,10;70,10;65,57
31;70,90;69,35;65,32
32;70,53;68,94;65,16
33;70,18;68,61;64,79
34;69,82;68,18;64,62
35;69,57;67,97;64,49
36;69,08;67,83;64,19
37;68,62;67,51;63,89
38;68,29;67,32;63,71
39;68,13;67,13;63,41
40;67,80;67,03;63,05
41;67,51;66,71;62,80
42;67,19;66,50;62,64
43;67,02;66,16;62,51
44;66,80;65,98;62,20
45;66,49;65,56;61,84
46;66,20;65,22;61,48
47;65,89;65,02;61,30
48;65,73;64,71;61,00
49;65,47;64,53;60,76
50;65,18;64,24;60,48
51;64,82;64,02;60,27
52;64,62;63,69;60,06
53;64,34;63,43;59,68
54;64,09;63,33;59,50
55;63,76;63,18;59,31
56;63,54;62,82;59,05
57;63,35;62,63;58,81
58;63,03;62,36;58,76
59;62,80;62,10;58,46
60;62,77;61,87;58,18
61;62,66;61,70;57,90
62;62,42;61,47;57,65
63;62,24;61,21;57,40
64;61,94;60,95;57,16
65;61,68;60,72;56,89
66;61,35;60,58;56,65
67;61,06;60,36;56,42
68;60,88;60,15;56,12
69;60,74;59,84;55,96
70;60,49;59,60;55,77
71;60,18;59,37;55,51
72;59,93;59,06;55,25
73;59,67;58,79;55,03
74;59,45;58,41;54,78
75;59,20;58,19;54,65
76;58,96;58,00;54,42
77;58,83;57,75;54,18
78;58,51;57,49;53,91
79;58,35;57,35;53,62
80;58,13;57,13;53,49
81;57,93;56,90;53,25
82;57,62;56,67;53,04
83;57,33;56,45;52,82
84;57,05;56,18;52,61
85;56,71;55,98;52,40
86;56,48;55,84;52,14
87;56,29;55,56;51,92
88;56,02;55,40;51,67
89;55,87;55,15;51,42
90;55,70;54,92;51,19
91;55,49;54,69;50,96
92;55,27;54,46;50,84
93;55,04;54,24;50,63
94;54,85;54,13;50,44
95;54,65;53,89;50,35
96;54,36;53,71;50,19
97;54,15;53,46;49,94
98;53,95;53,16;49,77
99;53,63;52,86;49,55
100;53,44;52,60;49,25
